sample,C1,C2,C3,285_amp
ResA_008,678.2678580452562,146.31647687890492,32.90004335632091,464.8190684192226
ResA_008,684.6567005558413,163.63272220543124,68.21678388835295,448.57638439411824
ResA_008,721.3584458654054,160.3483969492281,13.238127205550398,399.6065296722844
ResA_008,650.018948944453,186.24886133356,64.65601926075593,444.21073726575116
ResA_008,646.4580942777686,156.35529482249666,0.0031795122090727546,389.62563765028335
ResA_008,711.4779098649216,149.6271823664408,27.94300291153462,391.19199868107523
ResA_008,648.0146567122702,188.1083274146711,65.86521827944836,415.50070870482523
ResA_008,618.0112084863687,200.3805873451725,73.50527081451119,420.5206911065849
ResA_008,692.690762582604,171.4918092532436,87.41350193686159,435.1559596962835
ResA_008,688.7413707690193,160.1645431836829,55.69748590117385,424.90556265621865
ResD_30s_OG,1239.1001317779703,185.33043771862268,69.2776251920435,811.5725855279122
ResD_30s_OG,1052.750817687187,188.3926399326441,12.860736475772683,856.847348242113
ResD_30s_OG,1211.1969092121199,183.55251435453468,67.28606954942151,809.6326509121733
ResD_30s_OG,1204.0425299564283,171.53298853544996,76.66459672650561,731.9231939180758
ResD_30s_OG,1086.0023941239306,135.62661677068988,73.69989729610893,792.5699135031092
ResD_30s_OG,1056.9343630861815,171.82924499925534,43.57332039628403,737.5235433881853
ResD_30s_OG,1022.2377235247216,205.22094668073976,20.74226973514115,657.3316406038157
ResD_30s_OG,962.6743388002624,186.7003872613182,109.879551013492,643.9071328543978
ResD_30s_OG,1176.4026670024741,148.59754782214907,38.882206510049144,765.3701234447053
ResD_60s_009,856.8250486895579,281.73507471418446,54.07521685985017,722.7225002048539
ResD_60s_009,761.0620912368304,395.9137713227534,54.16156878546019,795.1718634022463
ResD_60s_009,764.8779886126888,434.86374656787063,62.43651767823266,736.6191655873927
ResD_60s_009,778.8846210221578,411.5450842889778,26.779982342794995,694.7137475231419
ResD_60s_009,711.5000224544588,393.7205660942134,41.73586659605988,694.4192295767792
ResD_60s_009,809.5855196232903,221.87477954904722,31.228541419459077,702.4876440210548
ResD_60s_009,1034.2312649069818,158.56574558936742,51.76669864992434,679.3486657743416
ResD_60s_009,927.4294604511012,219.9257876367433,66.68888596905731,597.942464527623
ResD_60s_009,836.8234272748687,365.9361957342178,24.183830438229137,696.4595080176788
ResD_60s_009,636.8684121182966,352.8609752723178,5.551115123125783e-08,788.4777238568671
ResD_60s_009,1035.543613248091,75.71657628657746,28.007914709693438,561.8470709696564
